@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
152,'2026/05/31 15:54:43:255',1,0.13518,0.547585,0.962447,0,0.5,1
153,'2026/05/31 15:54:43:289',1,0.135483,0.5476,0.967038,0,0.5,1
154,'2026/05/31 15:54:43:322',1,0.135881,0.54783,0.967549,0,0.5,1
155,'2026/05/31 15:54:43:356',1,0.136283,0.547844,0.970522,0,0.5,1
156,'2026/05/31 15:54:43:388',1,0.136408,0.548486,0.964124,0,0.5,1
157,'2026/05/31 15:54:43:419',1,0.136301,0.548266,0.967175,0,0.5,1
158,'2026/05/31 15:54:43:455',1,0.136529,0.548338,0.966715,0,0.5,1
159,'2026/05/31 15:54:43:489',1,0.136326,0.548259,0.969973,0,0.5,1
160,'2026/05/31 15:54:43:522',1,0.13647,0.548551,0.970005,0,0.5,1
161,'2026/05/31 15:54:43:555',1,0.136482,0.548608,0.971088,0,0.5,1
162,'2026/05/31 15:54:43:590',1,0.136522,0.548812,0.971076,0,0.5,1
163,'2026/05/31 15:54:43:619',1,0.137087,0.548931,0.964572,0,0.5,1
164,'2026/05/31 15:54:43:655',1,0.136727,0.548949,0.956532,0,0.5,1
165,'2026/05/31 15:54:43:687',1,0.136602,0.548494,0.964858,0,0.5,1
166,'2026/05/31 15:54:43:721',1,0.136359,0.548551,0.964761,0,0.5,1
167,'2026/05/31 15:54:43:755',1,0.136299,0.548441,0.962065,0,0.5,1
168,'2026/05/31 15:54:43:790',1,0.136297,0.548575,0.962534,0,0.5,1
169,'2026/05/31 15:54:43:822',1,0.136779,0.548523,0.964719,0,0.5,1
170,'2026/05/31 15:54:43:856',1,0.136745,0.54856,0.962078,0,0.5,1
171,'2026/05/31 15:54:43:890',1,0.136749,0.548329,0.96724,0,0.5,1
172,'2026/05/31 15:54:43:922',1,0.13659,0.548646,0.962304,0,0.5,1
173,'2026/05/31 15:54:43:958',1,0.136416,0.548846,0.953522,0,0.5,1
174,'2026/05/31 15:54:43:988',1,0.136242,0.549141,0.951731,0,0.5,1
175,'2026/05/31 15:54:44:023',1,0.13605,0.548756,0.953619,0,0.5,1
176,'2026/05/31 15:54:44:057',1,0.13596,0.549079,0.952037,0,0.5,1
177,'2026/05/31 15:54:44:089',1,0.135895,0.548726,0.95651,0,0.5,1
178,'2026/05/31 15:54:44:124',1,0.135917,0.548889,0.956604,0,0.5,1
179,'2026/05/31 15:54:44:156',1,0.135946,0.548826,0.958357,0,0.5,1
180,'2026/05/31 15:54:44:191',1,0.135924,0.549129,0.954565,0,0.5,1
181,'2026/05/31 15:54:44:221',1,0.135808,0.549585,0.956257,0,0.5,1
182,'2026/05/31 15:54:44:257',1,0.135812,0.5498,0.954369,0,0.5,1
183,'2026/05/31 15:54:44:288',1,0.135646,0.549922,0.954605,0,0.5,1
184,'2026/05/31 15:54:44:319',1,0.135384,0.550148,0.954035,0,0.5,1
185,'2026/05/31 15:54:44:352',1,0.134876,0.550229,0.958985,0,0.5,1
186,'2026/05/31 15:54:44:386',1,0.135435,0.550714,0.950984,0,0.5,1
187,'2026/05/31 15:54:44:420',1,0.135453,0.551055,0.954091,0,0.5,1
188,'2026/05/31 15:54:44:453',1,0.135963,0.551355,0.96054,0,0.5,1
189,'2026/05/31 15:54:44:488',1,0.135569,0.551912,0.963084,0,0.5,1
190,'2026/05/31 15:54:44:520',1,0.135647,0.55216,0.965945,0,0.5,1
191,'2026/05/31 15:54:44:555',1,0.135441,0.552778,0.961194,0,0.5,1
192,'2026/05/31 15:54:44:586',1,0.134834,0.552655,0.968952,0,0.5,1
193,'2026/05/31 15:54:44:624',1,0.134128,0.553094,0.960926,0,0.5,1
194,'2026/05/31 15:54:44:657',1,0.133534,0.553241,0.965044,0,0.5,1
195,'2026/05/31 15:54:44:688',1,0.132748,0.553669,0.959773,0,0.5,1
196,'2026/05/31 15:54:44:723',1,0.132005,0.55375,0.955886,0,0.5,1
197,'2026/05/31 15:54:44:756',1,0.131443,0.553651,0.956598,0,0.5,1
198,'2026/05/31 15:54:44:788',1,0.130437,0.553664,0.9524,0,0.5,1
199,'2026/05/31 15:54:44:823',1,0.1296,0.553037,0.955634,0,0.5,1
200,'2026/05/31 15:54:44:856',1,0.128781,0.553195,0.954546,0,0.5,1
201,'2026/05/31 15:54:44:892',1,0.127612,0.553577,0.953798,0,0.5,1
202,'2026/05/31 15:54:44:922',1,0.126166,0.553762,0.947718,0,0.5,1
203,'2026/05/31 15:54:44:957',1,0.124589,0.553541,0.946665,0,0.5,1
204,'2026/05/31 15:54:44:988',1,0.122338,0.553351,0.940204,0,0.5,1
205,'2026/05/31 15:54:45:024',1,0.120387,0.553418,0.935922,0,0.5,1
206,'2026/05/31 15:54:45:057',1,0.11979,0.552843,0.940431,0,0.5,1
207,'2026/05/31 15:54:45:090',1,0.118725,0.553286,0.92818,0,0.5,1
208,'2026/05/31 15:54:45:125',1,0.118063,0.553002,0.931149,0,0.5,1
209,'2026/05/31 15:54:45:155',1,0.116973,0.552865,0.928143,0,0.5,1
210,'2026/05/31 15:54:45:191',1,0.115836,0.552624,0.928461,0,0.5,1
